,movie_title,director,cast
0,Jackass Forever,Jeff Tremaine,"Johnny Knoxville, Steve-O, Chris Pontius, Dave England, Wee Man, Danger Ehren, Preston Lacy, Rachel Wolfson"
1,Three Thousand Years of Longing,George Miller,"Tilda Swinton, Idris Elba"
2,The Woman King,Gina Prince-Bythewood,"Viola Davis, Lashana Lynch, Thuso Mbedu, John Boyega, Sheila Atim, Hero Fiennes Tiffin"
3,Corsage,Marie Kreutzer,"Vicky Krieps, Colin Morgan, Ivana Urban"
4,Fire of Love,Sara Dosa,"Miranda July, Katia Krafft, Maurice Krafft"
5,Moonage Daydream,Brett Morgen,David Bowie
6,The Northman,Robert Eggers,"Alexander Skarsgard, Nicole Kidman, Anya Taylor-Joy, Willem Dafoe"
7,Bardo,Alejandro González Inárritu,"Daniel Giménez Cacho, Griselda Siciliani, Ximena Lamadrid"
8,Turning Red,Domee Shi,"Rosalie Chiang, Sandra Oh, Ava Morse, Hyein Park, Maitreyi Ramakrishnan, Orion Lee, Wai Ching Ho, Tristan Allerick Chen, James Hong"
9,Descendant,Margaret Brown,None
10,Il Buco,Michelangelo Frammartino,"Nicola Lanza, Antonio Lanza, Leonardo Larocca"
11,The Batman,Matt Reeves,"Robert Pattinson, Zoe Kravitz, Colin Farrell, Paul Dano, Jeffrey Wright, Andy Serkis"
12,Glass Onion,Rian Johnson,"Daniel Craig, Edward Norton, Janelle Monaé, Kate Hudson, Kathryn Hahn, Dave Bautista, Madelyn Clinea"
13,Nanny,Nikyatu Jusu,"Anna Diop, Michelle Monaghan, Sinqua Walls, Morgan Spector"
14,We’re All Going to the World’s Fair,Jane Schoenbrun,"Anna Cobb, Michael J. Rogers"
15,No Bears,Jafar Panahi,"Naser Hashemi, Reza Heydari, Mina Kavani"
16,Marcel the Shell with Shoes On,Dean Fleischer-Camp,"Jenny Slate, Lesley Stahl, Isabella Rossellini"
17,Apollo 10 ½: A Space Age Childhood,Richard Linklater,"Jack Black, Milo Coy, Lee Eddy"
18,All Quiet on the Western Front 2022,Edward Berger,"Daniel Brühl, Daniel Marc Dreifuss, Malte Grunert, Clive Barker, Marc Toberoff, Lesley Paterson, Ian Stokell"
19,Three Minutes: A Lengthening,Bianca Stigter,Helena Bonham Carter (Narrator)
20,Avatar: The Way of Water,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang, Kate Winslet"
21,X,Ti West,"Mia Goth, Jenna Ortega, Brittany Snow, Martin Henderson, Owen Campbell, Stephen Ure, Scott Mescudi"
22,Kimi,Steven Soderbergh,"Zoë Kravitz, Rita Wilson, India de Beaufort, Emily Kuroda, Byron Bowers, Derek DelGaudio, Betsy Brantley"
23,In Front of Your Face,Hong Sang-soo,"Lee Hye-young, Cho Yun-hee, Kwon Hae-hyo"
24,Hit the Road,Panah Panahi,"Pantea Panahiha, Mohammad Hassan Madjooni, Rayan Sarlak"
25,After Yang,Kogonada,"Colin Farrell, Jodie Turner-Smith, Justin H. Min, Malea Emma Tjandrawidjaja, Haley Lu Richardson"
26,Vortex,Gaspar Noé,"Dario Argento, Francoise Lebrun, Alex Lutz"
27,Guillermo del Toro’s Pinocchio,"Guillermo del Toro and Mark Gustafson, and more","Ewan McGregor, David Bradley, Gregory Mann"
28,Return to Seoul,Davy Chou,"Ji-Min Park, Oh Kwang-rok, Guka Han, Kim Sun-young"
29,Happening,Audrey Diwan,"Anamaria Vartolomei, Kacey Mottet Klein, Luàna Bajrami"
30,Bones and All,Luca Guadagnino,"Taylor Russell, Timothée Chalamet, Mark Rylance, David Gordon Green, Michael Stuhlbarg, André Holland"
31,Living,Oliver Hermanus,"Bill Nighy, Aimee Lou Wood, Alex Sharp"
32,Women Talking,Sarah Polley,"Jessie Buckley, Rooney Mara, Claire Foy, Judith Ivey, Frances McDormand, Ben Whishaw"
33,Saint Omer,Alice Diop,"Kayije Kagame, Guslagie Malanga"
34,Elvis,Baz Luhrmann,"Austin Butler, Tom Hanks, Olivia DeJonge"
35,Triangle of Sadness,Ruben Östlund,"Harris Dickinson, Charlbi Dean, Dolly de Leon, Zlatko Burić, Iris Berben, Vicki Berlin, Henrik Dorsin, Jean-Christophe Folly, Amanda Walker, Oliver Ford Davies, Sunnyi Melles, Woody Harrelson"
36,The Eternal Daughter,Joanna Hogg,"Tilda Swinton, Joseph Mydell, Carly-Sophia Davies"
37,Benediction,Terence Davies,"Jack Lowden, Peter Capaldi, Simon Russell Beale, Jeremy Irvine, Calam Lynch, Tom Blyth, Kate Phillips, Geraldine James, Gemma Jones, Ben Daniels"
38,EO,Jerzy Skolimowski,"Sandra Drzymalska, Lorenzo Zurzolo, Mateusz Kościukiewicz, Isabelle Huppert"
39,Crimes of the Future,David Cronenberg,"Viggo Mortensen, Léa Seydoux, Kristen Stewart, Scott Speedman"
40,All the Beauty and the Bloodshed,Laura Poitras,None
41,Top Gun: Maverick,Joseph Kosinski,"Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm, Glen Powell, Lewis Pullman, Ed Harris, Val Kilmer"
42,RRR,S. S. Rajamouli,"N. T. Rama Rao Jr., Ram Charan, Ajay Devgn, Alia Bhatt, Shriya Saran, Samuthirakani, Ray Stevenson, Alison Doody, Olivia Morris"
43,Nope,Jordan Peele,"Daniel Kaluuya, Keke Palmer, Steven Yeun, Michael Wincott, Brandon Perea, Keith David"
44,Decision to Leave,Park Chan-wook,"Tang Wei, Park Hae-il"
45,The Fabelmans,Steven Spielberg,"Gabriel LaBelle, Michelle Williams, Paul Dano, Seth Rogen, Judd Hirsch"
46,Everything Everywhere All at Once,Daniel Kwan and Daniel Scheinert,"Michelle Yeoh, Stephanie Hsu, Ke Huy Quan, Jamie Lee Curtis, James Hong, Harry Shum Jr., Jenny Slate"
47,The Banshees of Inisherin,Martin McDonagh,"Colin Farrell, Brendan Gleeson, Kerry Condon, Barry Keoghan"
48,Aftersun,Charlotte Wells,"Paul Mescal, Frankie Corio"
49,TÁR,Todd Field,"Cate Blanchett, Noémie Merlant, Nina Hoss, Sophie Kauer, Julian Glover, Allan Corduner"
